[1] ROUGE-1: 32.33	ROUGE-2: 31.13	ROUGE-L: 31.35
[2] ROUGE-1: 60.80	ROUGE-2: 57.63	ROUGE-L: 54.13
[3] ROUGE-1: 81.20	ROUGE-2: 78.94	ROUGE-L: 78.07
[4] ROUGE-1: 61.65	ROUGE-2: 53.62	ROUGE-L: 48.48
[5] ROUGE-1: 21.96	ROUGE-2: 20.88	ROUGE-L: 19.70
[6] ROUGE-1: 63.51	ROUGE-2: 61.16	ROUGE-L: 59.78
[7] ROUGE-1: 62.18	ROUGE-2: 59.74	ROUGE-L: 58.84
[8] ROUGE-1: 43.68	ROUGE-2: 39.95	ROUGE-L: 40.33
[9] ROUGE-1: 58.57	ROUGE-2: 55.69	ROUGE-L: 52.88
[10] ROUGE-1: 35.32	ROUGE-2: 31.32	ROUGE-L: 30.78
[11] ROUGE-1: 64.50	ROUGE-2: 61.85	ROUGE-L: 57.85
[12] ROUGE-1: 66.75	ROUGE-2: 63.75	ROUGE-L: 59.67
[13] ROUGE-1: 62.65	ROUGE-2: 60.77	ROUGE-L: 59.06
[14] ROUGE-1: 64.82	ROUGE-2: 62.61	ROUGE-L: 60.03
[15] ROUGE-1: 74.77	ROUGE-2: 67.36	ROUGE-L: 68.03
[16] ROUGE-1: 43.90	ROUGE-2: 41.58	ROUGE-L: 40.23
[17] ROUGE-1: 52.62	ROUGE-2: 49.80	ROUGE-L: 47.75
[18] ROUGE-1: 63.70	ROUGE-2: 60.86	ROUGE-L: 56.51
[19] ROUGE-1: 53.97	ROUGE-2: 51.96	ROUGE-L: 47.93
[20] ROUGE-1: 56.33	ROUGE-2: 54.47	ROUGE-L: 53.09
[21] ROUGE-1: 39.34	ROUGE-2: 35.48	ROUGE-L: 34.45
[22] ROUGE-1: 78.99	ROUGE-2: 77.64	ROUGE-L: 78.99
[23] ROUGE-1: 13.00	ROUGE-2: 12.62	ROUGE-L: 13.00
[24] ROUGE-1: 73.84	ROUGE-2: 60.41	ROUGE-L: 57.51
[25] ROUGE-1: 66.36	ROUGE-2: 62.46	ROUGE-L: 57.78
[26] ROUGE-1: 76.20	ROUGE-2: 71.17	ROUGE-L: 65.36
[27] ROUGE-1: 55.49	ROUGE-2: 52.95	ROUGE-L: 50.55
[28] ROUGE-1: 79.96	ROUGE-2: 77.56	ROUGE-L: 76.86
[29] ROUGE-1: 70.27	ROUGE-2: 67.00	ROUGE-L: 65.01
[30] ROUGE-1: 55.39	ROUGE-2: 52.17	ROUGE-L: 48.10
[31] ROUGE-1: 61.69	ROUGE-2: 59.65	ROUGE-L: 57.85
[32] ROUGE-1: 58.20	ROUGE-2: 55.49	ROUGE-L: 54.13
[33] ROUGE-1: 66.83	ROUGE-2: 62.59	ROUGE-L: 55.49
[34] ROUGE-1: 64.03	ROUGE-2: 62.16	ROUGE-L: 60.76
[35] ROUGE-1: 65.38	ROUGE-2: 63.08	ROUGE-L: 62.37
[36] ROUGE-1: 45.40	ROUGE-2: 43.51	ROUGE-L: 41.44
[37] ROUGE-1: 44.74	ROUGE-2: 41.29	ROUGE-L: 39.32
[38] ROUGE-1: 66.70	ROUGE-2: 64.33	ROUGE-L: 60.18
[39] ROUGE-1: 54.74	ROUGE-2: 48.20	ROUGE-L: 44.40
[40] ROUGE-1: 70.01	ROUGE-2: 67.55	ROUGE-L: 64.98
[41] ROUGE-1: 60.66	ROUGE-2: 59.00	ROUGE-L: 57.30
[42] ROUGE-1: 71.96	ROUGE-2: 64.51	ROUGE-L: 59.94
[43] ROUGE-1: 64.73	ROUGE-2: 61.24	ROUGE-L: 58.79
[44] ROUGE-1: 54.50	ROUGE-2: 52.50	ROUGE-L: 50.66
[45] ROUGE-1: 69.74	ROUGE-2: 62.53	ROUGE-L: 61.16
[46] ROUGE-1: 60.80	ROUGE-2: 57.62	ROUGE-L: 56.74
[47] ROUGE-1: 63.82	ROUGE-2: 61.10	ROUGE-L: 57.95
[48] ROUGE-1: 74.92	ROUGE-2: 72.60	ROUGE-L: 67.70
[49] ROUGE-1: 64.53	ROUGE-2: 60.73	ROUGE-L: 57.89
[50] ROUGE-1: 70.82	ROUGE-2: 67.78	ROUGE-L: 67.18
[51] ROUGE-1: 69.41	ROUGE-2: 66.77	ROUGE-L: 63.85
[52] ROUGE-1: 71.64	ROUGE-2: 69.56	ROUGE-L: 69.14
[53] ROUGE-1: 74.89	ROUGE-2: 71.51	ROUGE-L: 68.65
[54] ROUGE-1: 60.90	ROUGE-2: 57.06	ROUGE-L: 57.55
[55] ROUGE-1: 81.83	ROUGE-2: 76.18	ROUGE-L: 73.22
[56] ROUGE-1: 75.32	ROUGE-2: 70.32	ROUGE-L: 71.90
[57] ROUGE-1: 66.60	ROUGE-2: 56.62	ROUGE-L: 44.80
[58] ROUGE-1: 57.78	ROUGE-2: 54.64	ROUGE-L: 52.77
[59] ROUGE-1: 74.58	ROUGE-2: 65.99	ROUGE-L: 68.47
[60] ROUGE-1: 51.85	ROUGE-2: 48.97	ROUGE-L: 42.28
[61] ROUGE-1: 69.58	ROUGE-2: 66.78	ROUGE-L: 62.59
[62] ROUGE-1: 72.28	ROUGE-2: 69.84	ROUGE-L: 67.17
[63] ROUGE-1: 46.21	ROUGE-2: 40.96	ROUGE-L: 35.30
[64] ROUGE-1: 47.83	ROUGE-2: 39.45	ROUGE-L: 39.36
[65] ROUGE-1: 72.88	ROUGE-2: 69.52	ROUGE-L: 68.12
[66] ROUGE-1: 70.05	ROUGE-2: 67.35	ROUGE-L: 66.41
[67] ROUGE-1: 83.81	ROUGE-2: 78.04	ROUGE-L: 78.92
[68] ROUGE-1: 55.17	ROUGE-2: 53.33	ROUGE-L: 55.17
[69] ROUGE-1: 70.86	ROUGE-2: 68.49	ROUGE-L: 65.27
[70] ROUGE-1: 67.43	ROUGE-2: 64.06	ROUGE-L: 55.63
[71] ROUGE-1: 53.82	ROUGE-2: 51.41	ROUGE-L: 48.79
[72] ROUGE-1: 79.93	ROUGE-2: 78.12	ROUGE-L: 77.18
[73] ROUGE-1: 44.79	ROUGE-2: 42.48	ROUGE-L: 39.09
[74] ROUGE-1: 57.14	ROUGE-2: 53.98	ROUGE-L: 44.85
[75] ROUGE-1: 62.82	ROUGE-2: 53.69	ROUGE-L: 48.79
[76] ROUGE-1: 54.35	ROUGE-2: 52.77	ROUGE-L: 54.22
[77] ROUGE-1: 63.62	ROUGE-2: 61.39	ROUGE-L: 59.92
[78] ROUGE-1: 59.33	ROUGE-2: 57.23	ROUGE-L: 49.02
[79] ROUGE-1: 64.74	ROUGE-2: 62.21	ROUGE-L: 59.66
[80] ROUGE-1: 70.92	ROUGE-2: 68.16	ROUGE-L: 65.30
[81] ROUGE-1: 73.13	ROUGE-2: 67.38	ROUGE-L: 68.68
[82] ROUGE-1: 66.86	ROUGE-2: 64.27	ROUGE-L: 60.22
[83] ROUGE-1: 40.73	ROUGE-2: 39.44	ROUGE-L: 36.25
[84] ROUGE-1: 56.03	ROUGE-2: 54.28	ROUGE-L: 54.04
[85] ROUGE-1: 79.82	ROUGE-2: 75.95	ROUGE-L: 77.35
[86] ROUGE-1: 60.37	ROUGE-2: 54.05	ROUGE-L: 56.64
[87] ROUGE-1: 71.73	ROUGE-2: 64.81	ROUGE-L: 65.62
[88] ROUGE-1: 49.48	ROUGE-2: 46.96	ROUGE-L: 43.83
[89] ROUGE-1: 49.38	ROUGE-2: 42.68	ROUGE-L: 37.85
[90] ROUGE-1: 41.97	ROUGE-2: 40.12	ROUGE-L: 40.00
[91] ROUGE-1: 48.85	ROUGE-2: 46.77	ROUGE-L: 45.09
[92] ROUGE-1: 53.10	ROUGE-2: 49.49	ROUGE-L: 48.35
[93] ROUGE-1: 46.40	ROUGE-2: 42.74	ROUGE-L: 40.23
[94] ROUGE-1: 73.22	ROUGE-2: 70.56	ROUGE-L: 70.04
[95] ROUGE-1: 21.16	ROUGE-2: 19.73	ROUGE-L: 21.16
[96] ROUGE-1: 63.40	ROUGE-2: 60.96	ROUGE-L: 58.79
[97] ROUGE-1: 77.69	ROUGE-2: 73.20	ROUGE-L: 66.13
[98] ROUGE-1: 78.57	ROUGE-2: 75.64	ROUGE-L: 74.66
[99] ROUGE-1: 74.56	ROUGE-2: 72.40	ROUGE-L: 72.58
[100] ROUGE-1: 65.61	ROUGE-2: 63.50	ROUGE-L: 62.09
