[1] ROUGE-1: 74.29	ROUGE-2: 67.33	ROUGE-L: 25.50
[2] ROUGE-1: 78.62	ROUGE-2: 71.01	ROUGE-L: 22.12
[3] ROUGE-1: 73.53	ROUGE-2: 66.78	ROUGE-L: 25.71
[4] ROUGE-1: 73.23	ROUGE-2: 65.44	ROUGE-L: 23.54
[5] ROUGE-1: 82.53	ROUGE-2: 75.58	ROUGE-L: 33.87
[6] ROUGE-1: 82.97	ROUGE-2: 74.80	ROUGE-L: 23.52
[7] ROUGE-1: 75.25	ROUGE-2: 68.39	ROUGE-L: 23.97
[8] ROUGE-1: 89.03	ROUGE-2: 79.79	ROUGE-L: 26.64
[9] ROUGE-1: 74.32	ROUGE-2: 66.15	ROUGE-L: 26.21
[10] ROUGE-1: 80.17	ROUGE-2: 72.87	ROUGE-L: 22.53
[11] ROUGE-1: 64.76	ROUGE-2: 58.07	ROUGE-L: 25.33
[12] ROUGE-1: 85.36	ROUGE-2: 76.83	ROUGE-L: 26.28
[13] ROUGE-1: 67.66	ROUGE-2: 62.02	ROUGE-L: 25.88
[14] ROUGE-1: 78.13	ROUGE-2: 71.08	ROUGE-L: 27.80
[15] ROUGE-1: 79.36	ROUGE-2: 71.91	ROUGE-L: 35.26
[16] ROUGE-1: 82.44	ROUGE-2: 75.44	ROUGE-L: 26.88
[17] ROUGE-1: 83.77	ROUGE-2: 75.99	ROUGE-L: 28.76
[18] ROUGE-1: 89.40	ROUGE-2: 80.83	ROUGE-L: 25.54
[19] ROUGE-1: 85.68	ROUGE-2: 77.29	ROUGE-L: 37.22
[20] ROUGE-1: 79.88	ROUGE-2: 72.40	ROUGE-L: 24.15
[21] ROUGE-1: 75.18	ROUGE-2: 67.40	ROUGE-L: 22.72
[22] ROUGE-1: 82.21	ROUGE-2: 74.67	ROUGE-L: 26.29
[23] ROUGE-1: 72.85	ROUGE-2: 66.36	ROUGE-L: 25.88
[24] ROUGE-1: 72.82	ROUGE-2: 67.66	ROUGE-L: 27.80
[25] ROUGE-1: 74.79	ROUGE-2: 68.14	ROUGE-L: 19.90
[26] ROUGE-1: 83.10	ROUGE-2: 74.65	ROUGE-L: 20.29
[27] ROUGE-1: 75.78	ROUGE-2: 69.39	ROUGE-L: 22.95
[28] ROUGE-1: 74.73	ROUGE-2: 69.62	ROUGE-L: 22.49
[29] ROUGE-1: 79.51	ROUGE-2: 73.34	ROUGE-L: 21.29
[30] ROUGE-1: 67.19	ROUGE-2: 62.42	ROUGE-L: 27.50
[31] ROUGE-1: 75.47	ROUGE-2: 66.78	ROUGE-L: 35.76
[32] ROUGE-1: 77.94	ROUGE-2: 71.52	ROUGE-L: 25.43
[33] ROUGE-1: 69.82	ROUGE-2: 64.66	ROUGE-L: 22.36
[34] ROUGE-1: 85.13	ROUGE-2: 73.50	ROUGE-L: 26.10
[35] ROUGE-1: 80.68	ROUGE-2: 75.47	ROUGE-L: 33.62
[36] ROUGE-1: 79.91	ROUGE-2: 71.22	ROUGE-L: 30.21
[37] ROUGE-1: 67.37	ROUGE-2: 62.26	ROUGE-L: 21.56
[38] ROUGE-1: 72.34	ROUGE-2: 65.61	ROUGE-L: 28.43
[39] ROUGE-1: 81.82	ROUGE-2: 73.33	ROUGE-L: 34.06
[40] ROUGE-1: 76.94	ROUGE-2: 68.74	ROUGE-L: 34.62
[41] ROUGE-1: 79.70	ROUGE-2: 72.90	ROUGE-L: 29.48
[42] ROUGE-1: 72.07	ROUGE-2: 65.99	ROUGE-L: 25.21
[43] ROUGE-1: 83.02	ROUGE-2: 74.88	ROUGE-L: 24.04
[44] ROUGE-1: 80.47	ROUGE-2: 73.15	ROUGE-L: 28.58
[45] ROUGE-1: 79.63	ROUGE-2: 71.77	ROUGE-L: 27.30
[46] ROUGE-1: 77.73	ROUGE-2: 71.18	ROUGE-L: 19.61
[47] ROUGE-1: 76.81	ROUGE-2: 69.24	ROUGE-L: 26.38
[48] ROUGE-1: 72.77	ROUGE-2: 68.74	ROUGE-L: 27.06
[49] ROUGE-1: 78.07	ROUGE-2: 70.45	ROUGE-L: 23.99
[50] ROUGE-1: 73.57	ROUGE-2: 67.09	ROUGE-L: 27.37
[51] ROUGE-1: 74.09	ROUGE-2: 66.27	ROUGE-L: 30.29
[52] ROUGE-1: 82.58	ROUGE-2: 74.49	ROUGE-L: 31.00
[53] ROUGE-1: 82.82	ROUGE-2: 73.64	ROUGE-L: 33.87
[54] ROUGE-1: 75.85	ROUGE-2: 70.33	ROUGE-L: 25.57
[55] ROUGE-1: 61.32	ROUGE-2: 57.22	ROUGE-L: 25.27
[56] ROUGE-1: 55.26	ROUGE-2: 52.20	ROUGE-L: 25.89
[57] ROUGE-1: 77.39	ROUGE-2: 69.96	ROUGE-L: 21.48
[58] ROUGE-1: 78.57	ROUGE-2: 70.95	ROUGE-L: 26.51
[59] ROUGE-1: 65.11	ROUGE-2: 57.86	ROUGE-L: 30.53
[60] ROUGE-1: 82.93	ROUGE-2: 73.62	ROUGE-L: 29.53
[61] ROUGE-1: 79.83	ROUGE-2: 72.23	ROUGE-L: 23.81
[62] ROUGE-1: 73.03	ROUGE-2: 65.95	ROUGE-L: 22.94
[63] ROUGE-1: 68.57	ROUGE-2: 63.20	ROUGE-L: 27.13
[64] ROUGE-1: 78.86	ROUGE-2: 70.71	ROUGE-L: 39.49
[65] ROUGE-1: 84.89	ROUGE-2: 75.90	ROUGE-L: 26.02
[66] ROUGE-1: 80.40	ROUGE-2: 71.90	ROUGE-L: 30.31
[67] ROUGE-1: 57.24	ROUGE-2: 53.50	ROUGE-L: 18.71
[68] ROUGE-1: 66.39	ROUGE-2: 61.96	ROUGE-L: 20.06
[69] ROUGE-1: 84.33	ROUGE-2: 76.40	ROUGE-L: 21.93
[70] ROUGE-1: 83.94	ROUGE-2: 74.18	ROUGE-L: 28.61
[71] ROUGE-1: 80.66	ROUGE-2: 73.17	ROUGE-L: 31.42
[72] ROUGE-1: 77.22	ROUGE-2: 69.69	ROUGE-L: 24.06
[73] ROUGE-1: 81.66	ROUGE-2: 73.32	ROUGE-L: 24.46
[74] ROUGE-1: 76.58	ROUGE-2: 69.22	ROUGE-L: 23.90
[75] ROUGE-1: 76.75	ROUGE-2: 68.35	ROUGE-L: 33.08
[76] ROUGE-1: 78.36	ROUGE-2: 72.02	ROUGE-L: 26.67
[77] ROUGE-1: 70.84	ROUGE-2: 64.85	ROUGE-L: 22.09
[78] ROUGE-1: 70.79	ROUGE-2: 65.32	ROUGE-L: 23.69
[79] ROUGE-1: 71.78	ROUGE-2: 64.01	ROUGE-L: 27.68
[80] ROUGE-1: 76.95	ROUGE-2: 70.04	ROUGE-L: 27.85
[81] ROUGE-1: 79.45	ROUGE-2: 72.88	ROUGE-L: 23.47
[82] ROUGE-1: 81.97	ROUGE-2: 73.42	ROUGE-L: 30.37
[83] ROUGE-1: 81.51	ROUGE-2: 72.57	ROUGE-L: 22.18
[84] ROUGE-1: 81.13	ROUGE-2: 74.04	ROUGE-L: 21.80
[85] ROUGE-1: 60.35	ROUGE-2: 55.91	ROUGE-L: 26.02
[86] ROUGE-1: 82.46	ROUGE-2: 74.42	ROUGE-L: 26.96
[87] ROUGE-1: 73.24	ROUGE-2: 66.27	ROUGE-L: 19.38
[88] ROUGE-1: 82.75	ROUGE-2: 73.89	ROUGE-L: 24.02
[89] ROUGE-1: 85.14	ROUGE-2: 77.10	ROUGE-L: 34.11
[90] ROUGE-1: 66.72	ROUGE-2: 61.36	ROUGE-L: 19.34
[91] ROUGE-1: 68.19	ROUGE-2: 62.14	ROUGE-L: 29.22
[92] ROUGE-1: 84.09	ROUGE-2: 74.70	ROUGE-L: 27.10
[93] ROUGE-1: 65.08	ROUGE-2: 58.10	ROUGE-L: 26.17
[94] ROUGE-1: 79.32	ROUGE-2: 71.69	ROUGE-L: 21.60
[95] ROUGE-1: 82.19	ROUGE-2: 72.37	ROUGE-L: 27.26
[96] ROUGE-1: 78.38	ROUGE-2: 70.48	ROUGE-L: 29.11
[97] ROUGE-1: 75.77	ROUGE-2: 66.74	ROUGE-L: 30.03
[98] ROUGE-1: 80.35	ROUGE-2: 72.14	ROUGE-L: 27.88
[99] ROUGE-1: 81.32	ROUGE-2: 73.18	ROUGE-L: 28.27
[100] ROUGE-1: 81.50	ROUGE-2: 73.08	ROUGE-L: 24.39
