[1] ROUGE-1: 23.70	ROUGE-2: 22.69	ROUGE-L: 19.59
[2] ROUGE-1: 24.44	ROUGE-2: 22.80	ROUGE-L: 18.92
[3] ROUGE-1: 22.25	ROUGE-2: 21.82	ROUGE-L: 22.25
[4] ROUGE-1: 32.53	ROUGE-2: 30.44	ROUGE-L: 30.38
[5] ROUGE-1: 22.64	ROUGE-2: 21.25	ROUGE-L: 18.98
[6] ROUGE-1: 30.77	ROUGE-2: 29.89	ROUGE-L: 27.30
[7] ROUGE-1: 13.99	ROUGE-2: 12.17	ROUGE-L: 12.58
[8] ROUGE-1: 27.06	ROUGE-2: 22.61	ROUGE-L: 22.81
[9] ROUGE-1: 25.38	ROUGE-2: 23.49	ROUGE-L: 20.50
[10] ROUGE-1: 25.53	ROUGE-2: 22.54	ROUGE-L: 22.58
[11] ROUGE-1: 26.75	ROUGE-2: 25.79	ROUGE-L: 22.45
[12] ROUGE-1: 27.48	ROUGE-2: 26.17	ROUGE-L: 22.89
[13] ROUGE-1: 28.49	ROUGE-2: 27.69	ROUGE-L: 24.22
[14] ROUGE-1: 24.17	ROUGE-2: 23.09	ROUGE-L: 18.06
[15] ROUGE-1: 29.36	ROUGE-2: 27.48	ROUGE-L: 27.73
[16] ROUGE-1: 28.41	ROUGE-2: 25.87	ROUGE-L: 21.98
[17] ROUGE-1: 29.73	ROUGE-2: 27.68	ROUGE-L: 23.41
[18] ROUGE-1: 24.94	ROUGE-2: 23.29	ROUGE-L: 18.93
[19] ROUGE-1: 25.51	ROUGE-2: 24.35	ROUGE-L: 19.65
[20] ROUGE-1: 26.18	ROUGE-2: 25.14	ROUGE-L: 24.48
[21] ROUGE-1: 20.28	ROUGE-2: 19.63	ROUGE-L: 20.17
[22] ROUGE-1: 49.74	ROUGE-2: 48.95	ROUGE-L: 49.74
[23] ROUGE-1: 13.00	ROUGE-2: 12.62	ROUGE-L: 13.00
[24] ROUGE-1: 28.57	ROUGE-2: 27.27	ROUGE-L: 28.57
[25] ROUGE-1: 22.40	ROUGE-2: 19.90	ROUGE-L: 16.98
[26] ROUGE-1: 38.51	ROUGE-2: 33.92	ROUGE-L: 31.74
[27] ROUGE-1: 34.19	ROUGE-2: 32.42	ROUGE-L: 30.68
[28] ROUGE-1: 31.12	ROUGE-2: 30.31	ROUGE-L: 27.87
[29] ROUGE-1: 32.73	ROUGE-2: 31.83	ROUGE-L: 27.05
[30] ROUGE-1: 32.63	ROUGE-2: 30.60	ROUGE-L: 24.13
[31] ROUGE-1: 22.59	ROUGE-2: 21.60	ROUGE-L: 17.55
[32] ROUGE-1: 22.93	ROUGE-2: 21.73	ROUGE-L: 15.96
[33] ROUGE-1: 27.05	ROUGE-2: 24.34	ROUGE-L: 21.79
[34] ROUGE-1: 25.02	ROUGE-2: 24.08	ROUGE-L: 21.53
[35] ROUGE-1: 24.48	ROUGE-2: 23.65	ROUGE-L: 20.31
[36] ROUGE-1: 27.24	ROUGE-2: 25.60	ROUGE-L: 21.36
[37] ROUGE-1: 26.45	ROUGE-2: 24.55	ROUGE-L: 20.70
[38] ROUGE-1: 24.24	ROUGE-2: 23.00	ROUGE-L: 18.53
[39] ROUGE-1: 26.44	ROUGE-2: 18.07	ROUGE-L: 16.46
[40] ROUGE-1: 25.07	ROUGE-2: 23.92	ROUGE-L: 19.41
[41] ROUGE-1: 28.68	ROUGE-2: 27.69	ROUGE-L: 23.36
[42] ROUGE-1: 38.68	ROUGE-2: 29.65	ROUGE-L: 26.69
[43] ROUGE-1: 21.31	ROUGE-2: 18.78	ROUGE-L: 16.12
[44] ROUGE-1: 26.25	ROUGE-2: 25.52	ROUGE-L: 24.82
[45] ROUGE-1: 23.42	ROUGE-2: 22.80	ROUGE-L: 23.42
[46] ROUGE-1: 28.81	ROUGE-2: 27.77	ROUGE-L: 26.93
[47] ROUGE-1: 25.76	ROUGE-2: 24.71	ROUGE-L: 21.83
[48] ROUGE-1: 23.03	ROUGE-2: 21.64	ROUGE-L: 19.24
[49] ROUGE-1: 18.96	ROUGE-2: 16.11	ROUGE-L: 15.88
