[1] ROUGE-1: 43.22	ROUGE-2: 40.74	ROUGE-L: 38.63
[2] ROUGE-1: 39.76	ROUGE-2: 37.61	ROUGE-L: 36.97
[3] ROUGE-1: 17.33	ROUGE-2: 16.47	ROUGE-L: 16.01
[4] ROUGE-1: 24.78	ROUGE-2: 20.80	ROUGE-L: 19.79
[5] ROUGE-1: 24.50	ROUGE-2: 23.32	ROUGE-L: 24.04
[6] ROUGE-1: 33.36	ROUGE-2: 31.59	ROUGE-L: 30.81
[7] ROUGE-1: 24.46	ROUGE-2: 20.55	ROUGE-L: 19.86
[8] ROUGE-1: 35.94	ROUGE-2: 34.06	ROUGE-L: 32.32
[9] ROUGE-1: 28.33	ROUGE-2: 26.33	ROUGE-L: 24.42
[10] ROUGE-1: 24.93	ROUGE-2: 23.87	ROUGE-L: 23.76
[11] ROUGE-1: 10.75	ROUGE-2: 9.86	ROUGE-L: 10.03
[12] ROUGE-1: 33.46	ROUGE-2: 32.38	ROUGE-L: 30.96
[13] ROUGE-1: 38.50	ROUGE-2: 36.59	ROUGE-L: 35.14
[14] ROUGE-1: 30.10	ROUGE-2: 28.01	ROUGE-L: 28.47
[15] ROUGE-1: 52.39	ROUGE-2: 47.96	ROUGE-L: 45.63
[16] ROUGE-1: 54.22	ROUGE-2: 51.62	ROUGE-L: 48.42
[17] ROUGE-1: 40.11	ROUGE-2: 36.73	ROUGE-L: 36.05
[18] ROUGE-1: 38.83	ROUGE-2: 36.42	ROUGE-L: 34.47
[19] ROUGE-1: 22.71	ROUGE-2: 21.37	ROUGE-L: 20.76
[20] ROUGE-1: 20.37	ROUGE-2: 19.33	ROUGE-L: 19.28
[21] ROUGE-1: 19.97	ROUGE-2: 19.19	ROUGE-L: 18.10
[22] ROUGE-1: 39.82	ROUGE-2: 37.65	ROUGE-L: 36.38
[23] ROUGE-1: 33.05	ROUGE-2: 30.95	ROUGE-L: 29.55
[24] ROUGE-1: 32.05	ROUGE-2: 30.85	ROUGE-L: 28.61
[25] ROUGE-1: 38.26	ROUGE-2: 36.80	ROUGE-L: 35.40
[26] ROUGE-1: 35.87	ROUGE-2: 32.98	ROUGE-L: 30.81
[27] ROUGE-1: 14.31	ROUGE-2: 12.67	ROUGE-L: 11.57
[28] ROUGE-1: 28.16	ROUGE-2: 27.18	ROUGE-L: 28.09
[29] ROUGE-1: 26.40	ROUGE-2: 24.89	ROUGE-L: 23.22
[30] ROUGE-1: 43.61	ROUGE-2: 39.92	ROUGE-L: 38.73
[31] ROUGE-1: 41.92	ROUGE-2: 39.25	ROUGE-L: 35.43
[32] ROUGE-1: 36.99	ROUGE-2: 34.98	ROUGE-L: 32.32
[33] ROUGE-1: 28.11	ROUGE-2: 26.45	ROUGE-L: 26.08
[34] ROUGE-1: 37.59	ROUGE-2: 35.73	ROUGE-L: 32.64
[35] ROUGE-1: 23.63	ROUGE-2: 22.43	ROUGE-L: 20.01
[36] ROUGE-1: 47.73	ROUGE-2: 44.74	ROUGE-L: 45.55
[37] ROUGE-1: 19.54	ROUGE-2: 18.64	ROUGE-L: 18.61
[38] ROUGE-1: 24.80	ROUGE-2: 23.66	ROUGE-L: 22.88
[39] ROUGE-1: 41.72	ROUGE-2: 39.53	ROUGE-L: 36.66
[40] ROUGE-1: 40.53	ROUGE-2: 37.67	ROUGE-L: 35.84
[41] ROUGE-1: 39.60	ROUGE-2: 37.26	ROUGE-L: 34.54
[42] ROUGE-1: 31.58	ROUGE-2: 30.06	ROUGE-L: 28.44
[43] ROUGE-1: 26.36	ROUGE-2: 24.68	ROUGE-L: 24.13
[44] ROUGE-1: 47.21	ROUGE-2: 44.63	ROUGE-L: 40.76
[45] ROUGE-1: 51.24	ROUGE-2: 49.11	ROUGE-L: 49.24
[46] ROUGE-1: 47.95	ROUGE-2: 44.64	ROUGE-L: 43.99
[47] ROUGE-1: 28.61	ROUGE-2: 26.68	ROUGE-L: 26.09
[48] ROUGE-1: 28.56	ROUGE-2: 25.59	ROUGE-L: 23.74
[49] ROUGE-1: 46.21	ROUGE-2: 41.30	ROUGE-L: 40.26
[50] ROUGE-1: 34.71	ROUGE-2: 32.02	ROUGE-L: 30.87
[51] ROUGE-1: 37.10	ROUGE-2: 35.06	ROUGE-L: 32.96
[52] ROUGE-1: 26.28	ROUGE-2: 24.54	ROUGE-L: 23.81
[53] ROUGE-1: 22.05	ROUGE-2: 20.64	ROUGE-L: 20.35
[54] ROUGE-1: 38.78	ROUGE-2: 37.36	ROUGE-L: 34.91
[55] ROUGE-1: 31.61	ROUGE-2: 29.79	ROUGE-L: 27.88
[56] ROUGE-1: 34.16	ROUGE-2: 32.34	ROUGE-L: 31.14
[57] ROUGE-1: 26.28	ROUGE-2: 25.24	ROUGE-L: 24.11
[58] ROUGE-1: 43.78	ROUGE-2: 39.68	ROUGE-L: 35.71
[59] ROUGE-1: 45.75	ROUGE-2: 43.30	ROUGE-L: 42.45
[60] ROUGE-1: 53.54	ROUGE-2: 50.74	ROUGE-L: 49.50
[61] ROUGE-1: 32.06	ROUGE-2: 30.47	ROUGE-L: 31.18
[62] ROUGE-1: 48.05	ROUGE-2: 44.01	ROUGE-L: 43.48
[63] ROUGE-1: 30.10	ROUGE-2: 28.52	ROUGE-L: 27.90
[64] ROUGE-1: 15.50	ROUGE-2: 14.67	ROUGE-L: 14.41
[65] ROUGE-1: 28.06	ROUGE-2: 26.43	ROUGE-L: 26.84
[66] ROUGE-1: 22.35	ROUGE-2: 20.62	ROUGE-L: 19.25
[67] ROUGE-1: 45.23	ROUGE-2: 43.13	ROUGE-L: 42.01
[68] ROUGE-1: 51.91	ROUGE-2: 48.75	ROUGE-L: 47.37
[69] ROUGE-1: 41.71	ROUGE-2: 38.43	ROUGE-L: 37.46
[70] ROUGE-1: 28.54	ROUGE-2: 26.87	ROUGE-L: 25.89
[71] ROUGE-1: 28.73	ROUGE-2: 26.78	ROUGE-L: 24.80
[72] ROUGE-1: 20.25	ROUGE-2: 17.32	ROUGE-L: 17.93
[73] ROUGE-1: 20.85	ROUGE-2: 19.86	ROUGE-L: 19.24
[74] ROUGE-1: 40.97	ROUGE-2: 39.07	ROUGE-L: 39.37
[75] ROUGE-1: 28.01	ROUGE-2: 26.70	ROUGE-L: 26.40
[76] ROUGE-1: 54.39	ROUGE-2: 49.29	ROUGE-L: 47.25
[77] ROUGE-1: 25.03	ROUGE-2: 23.12	ROUGE-L: 21.25
[78] ROUGE-1: 21.06	ROUGE-2: 19.51	ROUGE-L: 18.82
[79] ROUGE-1: 11.48	ROUGE-2: 11.15	ROUGE-L: 11.21
[80] ROUGE-1: 32.38	ROUGE-2: 30.85	ROUGE-L: 30.18
[81] ROUGE-1: 56.62	ROUGE-2: 53.14	ROUGE-L: 49.82
[82] ROUGE-1: 23.01	ROUGE-2: 21.99	ROUGE-L: 20.60
[83] ROUGE-1: 51.30	ROUGE-2: 48.48	ROUGE-L: 44.45
[84] ROUGE-1: 41.94	ROUGE-2: 39.44	ROUGE-L: 37.34
[85] ROUGE-1: 37.89	ROUGE-2: 35.88	ROUGE-L: 34.38
[86] ROUGE-1: 41.26	ROUGE-2: 38.27	ROUGE-L: 37.71
[87] ROUGE-1: 57.67	ROUGE-2: 50.40	ROUGE-L: 46.71
[88] ROUGE-1: 43.35	ROUGE-2: 38.42	ROUGE-L: 38.94
[89] ROUGE-1: 33.49	ROUGE-2: 29.14	ROUGE-L: 29.20
