[1] ROUGE-1: 40.27	ROUGE-2: 38.45	ROUGE-L: 37.51
[2] ROUGE-1: 59.24	ROUGE-2: 56.55	ROUGE-L: 55.87
[3] ROUGE-1: 81.20	ROUGE-2: 78.94	ROUGE-L: 78.07
[4] ROUGE-1: 61.65	ROUGE-2: 53.62	ROUGE-L: 48.48
[5] ROUGE-1: 50.87	ROUGE-2: 48.74	ROUGE-L: 49.04
[6] ROUGE-1: 71.09	ROUGE-2: 68.58	ROUGE-L: 69.62
[7] ROUGE-1: 70.21	ROUGE-2: 68.11	ROUGE-L: 67.16
[8] ROUGE-1: 43.68	ROUGE-2: 39.95	ROUGE-L: 40.33
[9] ROUGE-1: 58.97	ROUGE-2: 56.20	ROUGE-L: 55.53
[10] ROUGE-1: 44.01	ROUGE-2: 40.89	ROUGE-L: 41.28
[11] ROUGE-1: 60.74	ROUGE-2: 58.45	ROUGE-L: 55.74
[12] ROUGE-1: 65.85	ROUGE-2: 62.97	ROUGE-L: 61.35
[13] ROUGE-1: 65.27	ROUGE-2: 63.44	ROUGE-L: 62.64
[14] ROUGE-1: 64.14	ROUGE-2: 61.88	ROUGE-L: 60.26
[15] ROUGE-1: 70.54	ROUGE-2: 63.26	ROUGE-L: 63.95
[16] ROUGE-1: 53.71	ROUGE-2: 50.89	ROUGE-L: 50.17
[17] ROUGE-1: 53.27	ROUGE-2: 50.54	ROUGE-L: 48.78
[18] ROUGE-1: 65.75	ROUGE-2: 63.01	ROUGE-L: 60.77
[19] ROUGE-1: 61.63	ROUGE-2: 59.34	ROUGE-L: 55.75
[20] ROUGE-1: 61.80	ROUGE-2: 59.64	ROUGE-L: 59.76
[21] ROUGE-1: 57.00	ROUGE-2: 53.06	ROUGE-L: 52.93
[22] ROUGE-1: 78.99	ROUGE-2: 77.64	ROUGE-L: 78.99
[23] ROUGE-1: 29.19	ROUGE-2: 25.60	ROUGE-L: 26.04
[24] ROUGE-1: 64.37	ROUGE-2: 52.49	ROUGE-L: 51.17
[25] ROUGE-1: 63.34	ROUGE-2: 59.77	ROUGE-L: 57.14
[26] ROUGE-1: 76.20	ROUGE-2: 71.17	ROUGE-L: 65.36
[27] ROUGE-1: 56.53	ROUGE-2: 54.55	ROUGE-L: 51.70
[28] ROUGE-1: 77.28	ROUGE-2: 75.04	ROUGE-L: 74.86
[29] ROUGE-1: 64.90	ROUGE-2: 62.01	ROUGE-L: 62.37
[30] ROUGE-1: 60.82	ROUGE-2: 57.00	ROUGE-L: 54.51
[31] ROUGE-1: 65.12	ROUGE-2: 62.95	ROUGE-L: 61.63
[32] ROUGE-1: 58.22	ROUGE-2: 55.21	ROUGE-L: 54.02
[33] ROUGE-1: 64.03	ROUGE-2: 59.67	ROUGE-L: 53.16
[34] ROUGE-1: 67.03	ROUGE-2: 64.95	ROUGE-L: 64.13
[35] ROUGE-1: 57.88	ROUGE-2: 55.61	ROUGE-L: 54.11
[36] ROUGE-1: 48.40	ROUGE-2: 46.22	ROUGE-L: 46.03
[37] ROUGE-1: 54.67	ROUGE-2: 50.63	ROUGE-L: 47.22
[38] ROUGE-1: 67.20	ROUGE-2: 64.78	ROUGE-L: 62.25
[39] ROUGE-1: 57.49	ROUGE-2: 50.35	ROUGE-L: 45.48
[40] ROUGE-1: 69.13	ROUGE-2: 66.62	ROUGE-L: 65.16
[41] ROUGE-1: 70.10	ROUGE-2: 68.05	ROUGE-L: 68.36
[42] ROUGE-1: 71.96	ROUGE-2: 64.51	ROUGE-L: 59.94
[43] ROUGE-1: 60.02	ROUGE-2: 57.05	ROUGE-L: 55.74
[44] ROUGE-1: 62.31	ROUGE-2: 59.70	ROUGE-L: 59.14
[45] ROUGE-1: 59.28	ROUGE-2: 52.50	ROUGE-L: 53.09
[46] ROUGE-1: 60.88	ROUGE-2: 58.18	ROUGE-L: 57.08
[47] ROUGE-1: 60.72	ROUGE-2: 58.34	ROUGE-L: 56.29
[48] ROUGE-1: 74.92	ROUGE-2: 72.60	ROUGE-L: 67.70
[49] ROUGE-1: 53.49	ROUGE-2: 49.62	ROUGE-L: 48.33
[50] ROUGE-1: 63.90	ROUGE-2: 61.33	ROUGE-L: 60.47
[51] ROUGE-1: 71.66	ROUGE-2: 68.80	ROUGE-L: 66.82
[52] ROUGE-1: 71.10	ROUGE-2: 69.41	ROUGE-L: 69.14
[53] ROUGE-1: 74.89	ROUGE-2: 71.51	ROUGE-L: 68.65
[54] ROUGE-1: 64.84	ROUGE-2: 61.11	ROUGE-L: 62.84
[55] ROUGE-1: 78.43	ROUGE-2: 72.69	ROUGE-L: 69.51
[56] ROUGE-1: 75.32	ROUGE-2: 70.32	ROUGE-L: 71.90
[57] ROUGE-1: 78.01	ROUGE-2: 68.00	ROUGE-L: 62.44
[58] ROUGE-1: 60.13	ROUGE-2: 57.18	ROUGE-L: 55.52
[59] ROUGE-1: 74.58	ROUGE-2: 65.99	ROUGE-L: 68.47
[60] ROUGE-1: 64.42	ROUGE-2: 61.20	ROUGE-L: 56.87
[61] ROUGE-1: 68.75	ROUGE-2: 65.94	ROUGE-L: 61.98
[62] ROUGE-1: 69.44	ROUGE-2: 67.15	ROUGE-L: 64.25
[63] ROUGE-1: 58.79	ROUGE-2: 54.07	ROUGE-L: 52.26
[64] ROUGE-1: 47.83	ROUGE-2: 39.45	ROUGE-L: 39.36
[65] ROUGE-1: 72.94	ROUGE-2: 69.34	ROUGE-L: 67.73
[66] ROUGE-1: 70.11	ROUGE-2: 67.48	ROUGE-L: 68.11
[67] ROUGE-1: 83.81	ROUGE-2: 78.04	ROUGE-L: 78.92
[68] ROUGE-1: 55.17	ROUGE-2: 53.33	ROUGE-L: 55.17
[69] ROUGE-1: 69.52	ROUGE-2: 67.04	ROUGE-L: 63.42
[70] ROUGE-1: 58.41	ROUGE-2: 56.55	ROUGE-L: 53.83
[71] ROUGE-1: 62.30	ROUGE-2: 59.51	ROUGE-L: 57.09
