[1] ROUGE-1: 45.30	ROUGE-2: 30.98	ROUGE-L: 31.54
[2] ROUGE-1: 62.59	ROUGE-2: 60.96	ROUGE-L: 62.59
[3] ROUGE-1: 22.87	ROUGE-2: 22.50	ROUGE-L: 22.87
[4] ROUGE-1: 24.96	ROUGE-2: 23.60	ROUGE-L: 24.96
[5] ROUGE-1: 14.23	ROUGE-2: 13.48	ROUGE-L: 11.91
[6] ROUGE-1: 15.26	ROUGE-2: 14.96	ROUGE-L: 15.26
[7] ROUGE-1: 46.34	ROUGE-2: 43.60	ROUGE-L: 44.44
[8] ROUGE-1: 16.12	ROUGE-2: 14.49	ROUGE-L: 14.84
[9] ROUGE-1: 36.82	ROUGE-2: 35.03	ROUGE-L: 35.71
[10] ROUGE-1: 10.04	ROUGE-2: 9.83	ROUGE-L: 9.98
[11] ROUGE-1: 16.26	ROUGE-2: 14.49	ROUGE-L: 14.20
[12] ROUGE-1: 17.48	ROUGE-2: 13.88	ROUGE-L: 12.94
[13] ROUGE-1: 25.56	ROUGE-2: 24.23	ROUGE-L: 25.56
[14] ROUGE-1: 3.66	ROUGE-2: 3.46	ROUGE-L: 3.43
[15] ROUGE-1: 4.64	ROUGE-2: 4.40	ROUGE-L: 4.64
[16] ROUGE-1: 7.06	ROUGE-2: 7.00	ROUGE-L: 7.06
[17] ROUGE-1: 13.14	ROUGE-2: 12.46	ROUGE-L: 12.22
[18] ROUGE-1: 14.64	ROUGE-2: 13.69	ROUGE-L: 13.40
[19] ROUGE-1: 4.67	ROUGE-2: 4.40	ROUGE-L: 4.67
[20] ROUGE-1: 26.35	ROUGE-2: 25.39	ROUGE-L: 26.24
[21] ROUGE-1: 8.36	ROUGE-2: 7.79	ROUGE-L: 8.26
[22] ROUGE-1: 8.87	ROUGE-2: 8.42	ROUGE-L: 8.65
[23] ROUGE-1: 52.19	ROUGE-2: 51.29	ROUGE-L: 52.19
[24] ROUGE-1: 10.12	ROUGE-2: 9.57	ROUGE-L: 9.42
[25] ROUGE-1: 12.02	ROUGE-2: 11.62	ROUGE-L: 11.47
[26] ROUGE-1: 12.55	ROUGE-2: 10.52	ROUGE-L: 10.80
[27] ROUGE-1: 10.26	ROUGE-2: 9.20	ROUGE-L: 9.30
[28] ROUGE-1: 13.56	ROUGE-2: 12.50	ROUGE-L: 12.07
[29] ROUGE-1: 11.38	ROUGE-2: 10.14	ROUGE-L: 10.62
[30] ROUGE-1: 53.94	ROUGE-2: 53.58	ROUGE-L: 53.94
[31] ROUGE-1: 10.17	ROUGE-2: 8.12	ROUGE-L: 9.03
[32] ROUGE-1: 8.38	ROUGE-2: 8.02	ROUGE-L: 8.00
[33] ROUGE-1: 39.72	ROUGE-2: 36.58	ROUGE-L: 39.72
[34] ROUGE-1: 67.77	ROUGE-2: 66.22	ROUGE-L: 67.77
[35] ROUGE-1: 8.43	ROUGE-2: 7.36	ROUGE-L: 8.24
[36] ROUGE-1: 19.23	ROUGE-2: 18.43	ROUGE-L: 18.55
[37] ROUGE-1: 44.19	ROUGE-2: 42.91	ROUGE-L: 43.99
[38] ROUGE-1: 23.76	ROUGE-2: 21.83	ROUGE-L: 23.39
[39] ROUGE-1: 9.06	ROUGE-2: 8.64	ROUGE-L: 8.89
[40] ROUGE-1: 11.90	ROUGE-2: 11.32	ROUGE-L: 11.04
[41] ROUGE-1: 11.17	ROUGE-2: 10.30	ROUGE-L: 10.14
[42] ROUGE-1: 16.29	ROUGE-2: 14.67	ROUGE-L: 14.40
[43] ROUGE-1: 49.45	ROUGE-2: 42.07	ROUGE-L: 40.06
[44] ROUGE-1: 17.51	ROUGE-2: 11.90	ROUGE-L: 12.41
[45] ROUGE-1: 21.66	ROUGE-2: 17.29	ROUGE-L: 16.42
[46] ROUGE-1: 30.11	ROUGE-2: 29.54	ROUGE-L: 29.95
[47] ROUGE-1: 8.45	ROUGE-2: 7.64	ROUGE-L: 8.18
