[1] ROUGE-1: 45.00	ROUGE-2: 41.86	ROUGE-L: 39.50
[2] ROUGE-1: 3.83	ROUGE-2: 3.24	ROUGE-L: 3.62
[3] ROUGE-1: 62.21	ROUGE-2: 56.34	ROUGE-L: 52.30
[4] ROUGE-1: 10.50	ROUGE-2: 9.49	ROUGE-L: 9.35
[5] ROUGE-1: 5.90	ROUGE-2: 5.33	ROUGE-L: 5.78
[6] ROUGE-1: 54.34	ROUGE-2: 50.10	ROUGE-L: 43.66
[7] ROUGE-1: 61.12	ROUGE-2: 55.81	ROUGE-L: 51.40
[8] ROUGE-1: 3.29	ROUGE-2: 3.15	ROUGE-L: 3.29
[9] ROUGE-1: 53.15	ROUGE-2: 49.82	ROUGE-L: 45.31
[10] ROUGE-1: 56.15	ROUGE-2: 52.74	ROUGE-L: 48.19
[11] ROUGE-1: 2.85	ROUGE-2: 2.79	ROUGE-L: 2.85
[12] ROUGE-1: 45.18	ROUGE-2: 42.61	ROUGE-L: 40.28
[13] ROUGE-1: 62.34	ROUGE-2: 57.13	ROUGE-L: 51.70
[14] ROUGE-1: 33.15	ROUGE-2: 30.86	ROUGE-L: 29.15
[15] ROUGE-1: 17.65	ROUGE-2: 16.98	ROUGE-L: 17.65
[16] ROUGE-1: 78.95	ROUGE-2: 73.49	ROUGE-L: 67.68
[17] ROUGE-1: 13.08	ROUGE-2: 12.49	ROUGE-L: 13.08
[18] ROUGE-1: 54.43	ROUGE-2: 50.71	ROUGE-L: 46.78
[19] ROUGE-1: 2.93	ROUGE-2: 2.84	ROUGE-L: 2.93
[20] ROUGE-1: 39.79	ROUGE-2: 36.40	ROUGE-L: 30.72
[21] ROUGE-1: 3.44	ROUGE-2: 3.37	ROUGE-L: 3.44
[22] ROUGE-1: 83.10	ROUGE-2: 76.59	ROUGE-L: 68.71
[23] ROUGE-1: 54.65	ROUGE-2: 50.58	ROUGE-L: 44.04
[24] ROUGE-1: 38.68	ROUGE-2: 35.67	ROUGE-L: 32.84
[25] ROUGE-1: 36.32	ROUGE-2: 33.55	ROUGE-L: 30.27
[26] ROUGE-1: 67.09	ROUGE-2: 62.19	ROUGE-L: 56.90
[27] ROUGE-1: 54.28	ROUGE-2: 49.72	ROUGE-L: 45.38
[28] ROUGE-1: 68.01	ROUGE-2: 63.29	ROUGE-L: 60.04
[29] ROUGE-1: 38.16	ROUGE-2: 35.82	ROUGE-L: 31.87
[30] ROUGE-1: 22.61	ROUGE-2: 20.65	ROUGE-L: 18.40
[31] ROUGE-1: 88.66	ROUGE-2: 81.17	ROUGE-L: 75.37
[32] ROUGE-1: 26.64	ROUGE-2: 24.65	ROUGE-L: 22.81
[33] ROUGE-1: 55.57	ROUGE-2: 51.69	ROUGE-L: 46.28
[34] ROUGE-1: 65.68	ROUGE-2: 60.84	ROUGE-L: 55.12
[35] ROUGE-1: 63.41	ROUGE-2: 58.73	ROUGE-L: 55.79
[36] ROUGE-1: 81.81	ROUGE-2: 75.45	ROUGE-L: 68.97
